p1,6,2,2,2,1
p2,4,2,3,5,4
p3,1,3,6,6,5
p4,5,1,6,4,3
p5,3,2,4,1,5
p6,6,6,2,5,1
p7,3,3,5,5,2
p8,2,6,1,4,3
p9,3,1,5,4,3
p10,3,2,1,3,2
p11,6,1,5,6,3
p12,5,5,1,4,3
p13,5,5,3,1,1
p14,3,3,6,4,4
p15,3,2,4,5,1
p16,5,3,4,4,6
p17,5,3,2,3,3
p18,6,4,5,5,6
p19,1,6,1,3,6
p20,4,4,1,1,1
p21,2,3,5,2,4
p22,3,4,6,5,2
p23,2,3,3,3,6
p24,3,3,3,6,5
p25,5,4,5,1,5
p26,2,4,5,1,5
p27,2,4,2,1,4
p28,2,3,2,4,6
p29,3,2,3,4,2
p30,1,3,2,3,1
p31,3,3,6,1,5
p32,5,1,2,2,3
p33,4,1,2,3,4
p34,2,1,6,1,4
p35,6,3,2,3,3
p36,2,1,6,4,1
p37,6,4,5,3,3
p38,4,3,6,1,1
p39,2,4,4,4,4
p40,1,2,2,2,3
p41,2,2,1,2,4
p42,3,3,4,6,6
p43,1,5,5,5,5
p44,6,1,4,1,5
p45,5,3,2,4,4
p46,2,1,4,2,1
p47,4,1,4,5,4
p48,2,1,6,5,1
p49,6,6,2,2,1
p50,5,4,1,4,6
